0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037,0.328037
0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121,0.63121
0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199,0.911199
1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945,1.16945
1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723,1.40723
1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562,1.62562
1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557,1.82557
2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792,2.00792
2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339,2.17339
