Elapsed Time (ms),Skydel SV ID,PRN,GPS TOW,GPS Week Number,Message Type,Navigation Message (Hex),Modified
0,3,3,388800.000,2279,5,00839C00 00510022 839C0000 00078200 0000160E F51F4020 7C1700DB 2CC172C1 A88A93FF B1F005B1 AE50FE14 021001D9 F9994002 2861FDA9 4FC8187C B51E0007 3800001F A0000001 01D9E65A 8A0183FF FFFFFFFF FFFFFFFF FFFFF800 3FFFFFFF FFFFFFFF FFFFFF80 00000011 A62BA000,No

rsf,[575, 575],1,1,
spare,[828, 858],0000000000000000000000000000000,0,
prnID,[580, 584],00011,3,
crc,[859, 882],100110010010110100100100,10038564,
msgID,[609, 614],000101,5,
invalidDataFlag,[615, 615],0,0,
regionsMasked,[616, 625],0000000110,6,
regionID,[626, 629],0001,1,
givei1,[630, 633],1111,15,
givd1,[634, 642],111111111,63.875,
givei2,[643, 646],1111,15,
givd2,[647, 655],111111111,63.875,
givei3,[656, 659],1111,15,
givd3,[660, 668],111111111,63.875,
givei4,[669, 672],1111,15,
givd4,[673, 681],111111111,63.875,
givei5,[682, 685],1111,15,
givd5,[686, 694],111111111,63.875,
givei6,[695, 698],1111,15,
givd6,[699, 707],111111111,63.875,
givei7,[708, 711],1111,15,
givd7,[712, 720],111111111,63.875,
givei8,[721, 724],1111,15,
givd8,[725, 733],000000000,0.0,
givei9,[734, 737],0000,0,
givd9,[738, 746],111111111,63.875,
givei10,[747, 750],1111,15,
givd10,[751, 759],111111111,63.875,
givei11,[760, 763],1111,15,
givd11,[764, 772],111111111,63.875,
givei12,[773, 776],1111,15,
givd12,[777, 785],111111111,63.875,
givei13,[786, 789],1111,15,
givd13,[790, 798],111111111,63.875,
givei14,[799, 802],1111,15,
givd14,[803, 811],111111111,63.875,
givei15,[812, 815],1111,15,
givd15,[816, 824],111111111,63.875,
iodi,[825, 827],001,1,

