Elapsed Time (ms),Skydel SV ID,PRN,GPS TOW,GPS Week Number,Subframe,Page,Navigation Message (Hex),Modified
72000,6,6,388872.000,2279,3,5,553F4B90 5018BFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 1834ACDC 00000000,No
72000,9,9,388872.000,2279,3,5,553F4B90 5018BFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 24CF5464 00000000,No
72000,10,10,388872.000,2279,3,5,553F4B90 5018BFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 28FD33BC 00000000,No
84000,2,2,388884.000,2279,4,5,553F4C18 5018FFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 098A50F4 00000000,No
84000,3,3,388884.000,2279,4,5,553F4C18 5018FFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 0F936318 00000000,No
84000,6,6,388884.000,2279,4,5,553F4C18 5018FFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 1BC5CB70 00000000,No
84000,9,9,388884.000,2279,4,5,553F4C18 5018FFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 273E33C8 00000000,No
84000,10,10,388884.000,2279,4,5,553F4C18 5018FFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 2B0C5410 00000000,No
96000,2,2,388896.000,2279,1,-1,553F4C80 E7CE1BF4 045C0017 BB3F000D C600000F F19B107F E6FFE751 9DFB3006 21EE4DC0 00000000,No
96000,3,3,388896.000,2279,1,-1,553F4C80 E7CB51E0 039C0017 BB3F4007 8200000C 819DA940 1D804222 87332BF8 50240BB8 00000000,No
96000,6,6,388896.000,2279,1,-1,553F4C80 E735C104 02B00017 BB3F0004 9700000C 1B625A40 028040DC BD1C7C39 73300D74 00000000,No
96000,9,9,388896.000,2279,1,-1,553F4C80 E76BE32F FF340017 BB3F000B 1200000E 42BA3FFF EA00045F 439803DD 61F86308 00000000,No
96000,10,10,388896.000,2279,1,-1,553F4C80 E7E2E727 F8200017 BB3E4012 E200000E 6E19F200 0A801958 53A5EFF2 12DBEAAC 00000000,No
108000,2,2,388908.000,2279,2,-1,553F4D09 94777F85 7BB003E9 1BAF2BAF 5786FC7E 99B21876 32BBFF2E 01460055 6314ECB8 00000000,No
108000,3,3,388908.000,2279,2,-1,553F4D09 60EF51F5 7BB0040F 82E32BAF 6A0160D4 454836CB 305FFFB1 F02D8D72 83DAF550 00000000,No
108000,6,6,388908.000,2279,2,-1,553F4D0A E1C63E61 7BB003DD 425F2BAD 4E4590FA 17BDF565 5053FFDB B021E013 A2F1BE90 00000000,No
108000,9,9,388908.000,2279,2,-1,553F4D0B 9A60D099 7BB003FF 34EB2BAB E1CD2060 FC2DEE6A 5687FF51 514CD3F4 11FC7AE0 00000000,No
108000,10,10,388908.000,2279,2,-1,553F4D08 9627DB11 7BB00142 3E732BAF 9FA724B7 0AA7C20D 806BFEFB 80357A71 9144DB90 00000000,No
120000,2,2,388920.000,2279,3,5,553F4D90 50193FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 08072188 00000000,No
120000,3,3,388920.000,2279,3,5,553F4D90 50193FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 0E1E1264 00000000,No
120000,6,6,388920.000,2279,3,5,553F4D90 50193FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 1A48BA0C 00000000,No
120000,9,9,388920.000,2279,3,5,553F4D90 50193FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 26B342B4 00000000,No
120000,10,10,388920.000,2279,3,5,553F4D90 50193FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 2A81256C 00000000,No
132000,2,2,388932.000,2279,4,5,553F4E18 50197FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 0BE98CC0 00000000,No
132000,3,3,388932.000,2279,4,5,553F4E18 50197FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 0DF0BF2C 00000000,No
132000,6,6,388932.000,2279,4,5,553F4E18 50197FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 19A61744 00000000,No
132000,9,9,388932.000,2279,4,5,553F4E18 50197FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 255DEFFC 00000000,No
132000,10,10,388932.000,2279,4,5,553F4E18 50197FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 296F8824 00000000,No
144000,2,2,388944.000,2279,1,-1,553F4E80 E7CE1BF4 045C0017 BB3F000D C600000F F19B107F E6FFE751 9DFB3006 22ED3144 00000000,No
144000,3,3,388944.000,2279,1,-1,553F4E80 E7CB51E0 039C0017 BB3F4007 8200000C 819DA940 1D804222 87332BF8 5327773C 00000000,No
144000,6,6,388944.000,2279,1,-1,553F4E80 E735C104 02B00017 BB3F0004 9700000C 1B625A40 028040DC BD1C7C39 703371F0 00000000,No
144000,9,9,388944.000,2279,1,-1,553F4E80 E76BE32F FF340017 BB3F000B 1200000E 42BA3FFF EA00045F 439803DD 62FB1F8C 00000000,No
144000,10,10,388944.000,2279,1,-1,553F4E80 E7E2E727 F8200017 BB3E4012 E200000E 6E19F200 0A801958 53A5EFF2 11D89628 00000000,No
156000,2,2,388956.000,2279,2,-1,553F4F09 94777F85 7BB003E9 1BAF2BAF 5786FC7E 99B21876 32BBFF2E 01460055 6017903C 00000000,No
156000,3,3,388956.000,2279,2,-1,553F4F09 60EF51F5 7BB0040F 82E32BAF 6A0160D4 454836CB 305FFFB1 F02D8D72 80D989D4 00000000,No
156000,6,6,388956.000,2279,2,-1,553F4F0A E1C63E61 7BB003DD 425F2BAD 4E4590FA 17BDF565 5053FFDB B021E013 A1F2C214 00000000,No
156000,9,9,388956.000,2279,2,-1,553F4F0B 9A60D099 7BB003FF 34EB2BAB E1CD2060 FC2DEE6A 5687FF51 514CD3F4 12FF0664 00000000,No
156000,10,10,388956.000,2279,2,-1,553F4F08 9627DB11 7BB00142 3E732BAF 9FA724B7 0AA7C20D 806BFEFB 80357A71 9247A714 00000000,No
168000,2,2,388968.000,2279,3,26,553F4F91 A0000000 00125E00 39C89712 00000000 05E0039C 00000000 00000000 0B344A70 00000000,No
168000,3,3,388968.000,2279,3,26,553F4F91 A0000000 00125E00 39C89712 00000000 05E0039C 00000000 00000000 0D2D799C 00000000,No
168000,6,6,388968.000,2279,3,26,553F4F91 A0000000 00125E00 39C89712 00000000 05E0039C 00000000 00000000 197BD1F4 00000000,No
168000,9,9,388968.000,2279,3,26,553F4F91 A0000000 00125E00 39C89712 00000000 05E0039C 00000000 00000000 2580294C 00000000,No
168000,10,10,388968.000,2279,3,26,553F4F91 A0000000 00125E00 39C89712 00000000 05E0039C 00000000 00000000 29B24E94 00000000,No
180000,2,2,388980.000,2279,4,5,553F5018 50183FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 09657410 00000000,No
180000,3,3,388980.000,2279,4,5,553F5018 50183FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 0F7C47FC 00000000,No
180000,6,6,388980.000,2279,4,5,553F5018 50183FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 1B2AEF94 00000000,No
180000,9,9,388980.000,2279,4,5,553F5018 50183FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 27D1172C 00000000,No
180000,10,10,388980.000,2279,4,5,553F5018 50183FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 2BE370F4 00000000,No
192000,2,2,388992.000,2279,1,-1,553F5080 E7CE1BF4 045C0017 BB3F000D C600000F F19B107F E6FFE751 9DFB3006 21B1397C 00000000,No
192000,3,3,388992.000,2279,1,-1,553F5080 E7CB51E0 039C0017 BB3F4007 8200000C 819DA940 1D804222 87332BF8 507B7F04 00000000,No
192000,6,6,388992.000,2279,1,-1,553F5080 E735C104 02B00017 BB3F0004 9700000C 1B625A40 028040DC BD1C7C39 736F79C8 00000000,No
192000,9,9,388992.000,2279,1,-1,553F5080 E76BE32F FF340017 BB3F000B 1200000E 42BA3FFF EA00045F 439803DD 61A717B4 00000000,No
192000,10,10,388992.000,2279,1,-1,553F5080 E7E2E727 F8200017 BB3E4012 E200000E 6E19F200 0A801958 53A5EFF2 12849E10 00000000,No
204000,2,2,389004.000,2279,2,-1,553F5109 94777F85 7BB003E9 1BAF2BAF 5786FC7E 99B21876 32BBFF2E 01460055 634B9804 00000000,No
204000,3,3,389004.000,2279,2,-1,553F5109 60EF51F5 7BB0040F 82E32BAF 6A0160D4 454836CB 305FFFB1 F02D8D72 838581EC 00000000,No
204000,6,6,389004.000,2279,2,-1,553F510A E1C63E61 7BB003DD 425F2BAD 4E4590FA 17BDF565 5053FFDB B021E013 A2AECA2C 00000000,No
204000,9,9,389004.000,2279,2,-1,553F510B 9A60D099 7BB003FF 34EB2BAB E1CD2060 FC2DEE6A 5687FF51 514CD3F4 11A30E5C 00000000,No
204000,10,10,389004.000,2279,2,-1,553F5108 9627DB11 7BB00142 3E732BAF 9FA724B7 0AA7C20D 806BFEFB 80357A71 911BAF2C 00000000,No
216000,2,2,389016.000,2279,3,5,553F5190 50187FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 0988A5DC 00000000,No
216000,3,3,389016.000,2279,3,5,553F5190 50187FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 0F919630 00000000,No
216000,6,6,389016.000,2279,3,5,553F5190 50187FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 1BC73E58 00000000,No
216000,9,9,389016.000,2279,3,5,553F5190 50187FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 273CC6E0 00000000,No
216000,10,10,389016.000,2279,3,5,553F5190 50187FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 2B0EA138 00000000,No
228000,2,2,389028.000,2279,4,5,553F5218 5018BFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 0AB99704 00000000,No
228000,3,3,389028.000,2279,4,5,553F5218 5018BFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 0CA0A4E8 00000000,No
228000,6,6,389028.000,2279,4,5,553F5218 5018BFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 18F60C80 00000000,No
228000,9,9,389028.000,2279,4,5,553F5218 5018BFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 240DF438 00000000,No
