Sat_ID,year,month,day,hour,min,sec,totalsec,bias,freq,frame,x,y,z,vx,vy,vz,ax,ay,az,health,freq_num,age
20,21,03,03,02,15,0.0,8100,-4.434864968061e-05,-9.094947017729e-13,9120.0,-19172.61328125,-8366.983886719,14573.14794922,1.970364570618,0.3903999328613,2.822870254517,-3.725290298462e-09,0.0,-9.313225746155e-10,0.0,2.0,0.0
20,21,03,03,02,45,0.0,9900,-4.434958100319e-05,-9.094947017729e-13,9900.0,-15013.71826172,-7936.807128906,19024.47314453,2.612462043762,0.05691337585449,2.091009140015,-2.793967723846e-09,0.0,-9.313225746155e-10,0.0,2.0,0.0
20,21,03,03,03,15,0.0,11700,-4.435144364834e-05,0.0,11700.0,-9927.837890625,-8245.586914062,22003.94189453,2.98912525177,-0.4148559570312,1.19815826416,-1.862645149231e-09,0.0,-1.862645149231e-09,0.0,2.0,0.0
20,21,03,03,03,45,0.0,13500,-4.435330629349e-05,0.0,13500.0,-4440.162109375,-9450.642089844,23282.68115234,3.055243492126,-0.9202880859375,0.2135982513428,-9.313225746155e-10,0.0,-2.793967723846e-09,0.0,2.0,0.0
20,21,03,03,04,15,0.0,15300,-4.435423761606e-05,0.0,15300.0,885.1918945312,-11511.24902344,22763.49511719,2.813200950623,-1.347152709961,-0.7865982055664,0.0,0.0,-2.793967723846e-09,0.0,2.0,0.0
20,21,03,03,04,45,0.0,17100,-4.435516893864e-05,0.0,17100.0,5531.111816406,-14192.27490234,20487.84912109,2.312041282654,-1.594799041748,-1.725422859192,1.862645149231e-09,0.0,-2.793967723846e-09,0.0,2.0,0.0
20,21,03,03,05,15,0.0,18900,-4.435982555151e-05,0.0,18900.0,9104.966796875,-17101.05175781,16632.27246094,1.639063835144,-1.591389656067,-2.53076171875,1.862645149231e-09,-9.313225746155e-10,-2.793967723846e-09,0.0,2.0,0.0
20,21,03,03,05,45,0.0,20700,-4.436075687408e-05,0.0,20700.0,11395.15136719,-19751.34667969,11494.57128906,0.9052848815918,-1.306357383728,-3.140827178955,2.793967723846e-09,-2.793967723846e-09,-1.862645149231e-09,0.0,2.0,0.0
