Sat_ID,year,month,day,hour,min,sec,totalsec,bias,freq,frame,x,y,z,vx,vy,vz,ax,ay,az,health,freq_num,age
18,21,03,03,00,15,0.0,900,6.843917071819e-05,9.094947017729e-13,900.0,-3155.101074219,-13694.29589844,21290.89746094,2.35978603363,1.716797828674,1.46045589447,-1.862645149231e-09,-9.313225746155e-10,-1.862645149231e-09,0.0,-3.0,0.0
18,21,03,03,00,45,0.0,2700,6.844103336334e-05,9.094947017729e-13,2700.0,1531.220214844,-10817.33691406,23063.40625,2.808944702148,1.443855285645,0.4964141845703,-9.313225746155e-10,0.0,-1.862645149231e-09,0.0,-3.0,0.0
18,21,03,03,01,15,0.0,4500,6.844382733107e-05,9.094947017729e-13,4500.0,6797.552734375,-8599.880371094,23055.59375,2.993537902832,0.9993829727173,-0.5048685073853,0.0,0.0,-2.793967723846e-09,0.0,-3.0,0.0
18,21,03,03,01,45,0.0,6300,6.844662129879e-05,9.094947017729e-13,6300.0,12122.77294922,-7261.096679688,21269.83544922,2.871077537537,0.485990524292,-1.466338157654,9.313225746155e-10,0.0,-2.793967723846e-09,0.0,-3.0,0.0
18,21,03,03,02,15,0.0,8100,6.845034658909e-05,9.094947017729e-13,8100.0,16950.765625,-6824.444335938,17845.09179688,2.44574546814,0.01537990570068,-2.314245223999,2.793967723846e-09,0.0,-2.793967723846e-09,0.0,-3.0,0.0
18,21,03,03,02,45,0.0,9900,6.845314055681e-05,9.094947017729e-13,9900.0,20775.20068359,-7118.416015625,13045.92675781,1.767956733704,-0.3106307983398,-2.983654022217,3.725290298462e-09,0.0,-1.862645149231e-09,0.0,-3.0,0.0
18,21,03,03,03,15,0.0,11700,6.845872849226e-05,9.094947017729e-13,11700.0,23216.68017578,-7810.328613281,7242.158691406,0.9264430999756,-0.417350769043,-3.423280715942,4.656612873077e-09,0.0,-1.862645149231e-09,0.0,-3.0,0.0
18,21,03,03,11,15,0.0,40500,6.84941187501e-05,9.094947017729e-13,41160.0,2329.574707031,16044.69287109,19689.23632812,-1.685747146606,-2.110043525696,1.925937652588,1.862645149231e-09,2.793967723846e-09,-9.313225746155e-10,0.0,-3.0,0.0
18,21,03,03,11,45,0.0,42300,6.849598139524e-05,9.094947017729e-13,42300.0,-1242.40234375,12245.41162109,22350.14550781,-2.261051177979,-2.064658164978,1.011625289917,1.862645149231e-09,1.862645149231e-09,-1.862645149231e-09,0.0,-3.0,0.0
18,21,03,03,12,15,0.0,44100,6.849877536297e-05,9.094947017729e-13,44100.0,-5700.312988281,8764.812011719,23284.76171875,-2.654088020325,-1.765814781189,0.02028942108154,9.313225746155e-10,0.0,-1.862645149231e-09,0.0,-3.0,0.0
18,21,03,03,12,45,0.0,45900,6.850156933069e-05,9.094947017729e-13,45900.0,-10638.87841797,5994.784179688,22422.85693359,-2.784741401672,-1.290692329407,-0.9716081619263,0.0,0.0,-2.793967723846e-09,0.0,-3.0,0.0
18,21,03,03,13,15,0.0,47700,6.850436329842e-05,9.094947017729e-13,47700.0,-15542.72070312,4162.094726562,19832.47753906,-2.612546920776,-0.7429075241089,-1.887866973877,-9.313225746155e-10,-9.313225746155e-10,-2.793967723846e-09,0.0,-3.0,0.0
18,21,03,03,13,45,0.0,49500,6.850808858871e-05,9.094947017729e-13,49500.0,-19865.08935547,3296.281738281,15714.27587891,-2.143654823303,-0.2348365783691,-2.658271789551,-1.862645149231e-09,-9.313225746155e-10,-2.793967723846e-09,0.0,-3.0,0.0
18,21,03,03,14,15,0.0,51300,6.851274520159e-05,9.094947017729e-13,51300.0,-23112.37841797,3230.990234375,10385.92041016,-1.430220603943,0.1313428878784,-3.223832130432,-3.725290298462e-09,-9.313225746155e-10,-1.862645149231e-09,0.0,-3.0,0.0
18,21,03,03,20,15,0.0,72900,6.854068487883e-05,0.0,73800.0,-1207.40625,-24758.44775391,-5872.09765625,-0.1816291809082,-0.8210916519165,3.493706703186,9.313225746155e-10,-3.725290298462e-09,9.313225746155e-10,0.0,-3.0,0.0
18,21,03,03,20,45,0.0,74700,6.854254752398e-05,9.094947017729e-13,74700.0,-1616.541503906,-25419.9296875,562.9340820312,-0.230583190918,0.0919246673584,3.609704971313,0.0,-3.725290298462e-09,9.313225746155e-10,0.0,-3.0,0.0
18,21,03,03,21,15,0.0,76500,6.854347884655e-05,9.094947017729e-13,76500.0,-1885.606933594,-24443.51855469,6954.328125,-0.02795696258545,0.9784364700317,3.4455909729,0.0,-4.656612873077e-09,0.0,0.0,-3.0,0.0
18,21,03,03,21,45,0.0,78300,6.85453414917e-05,9.094947017729e-13,78300.0,-1586.227539062,-21983.59033203,12806.47509766,0.3915519714355,1.722360610962,3.014534950256,0.0,-3.725290298462e-09,0.0,0.0,-3.0,0.0
18,21,03,03,22,15,0.0,80100,6.854813545942e-05,9.094947017729e-13,80100.0,-390.5454101562,-18384.89501953,17666.52197266,0.9525718688965,2.231125831604,2.350531578064,-9.313225746155e-10,-3.725290298462e-09,-9.313225746155e-10,0.0,-3.0,0.0
18,21,03,03,22,45,0.0,81900,6.854999810457e-05,9.094947017729e-13,81900.0,1866.211914062,-14126.20996094,21159.52197266,1.551875114441,2.450349807739,1.505546569824,-9.313225746155e-10,-2.793967723846e-09,-9.313225746155e-10,0.0,-3.0,0.0
18,21,03,03,23,15,0.0,83700,6.85527920723e-05,9.094947017729e-13,83700.0,5150.83203125,-9743.096679688,23017.15576172,2.075856208801,2.372068405151,0.5452928543091,-9.313225746155e-10,-1.862645149231e-09,-1.862645149231e-09,0.0,-3.0,0.0
18,21,03,03,23,45,0.0,85500,6.855558604002e-05,9.094947017729e-13,85500.0,9230.668945312,-5742.702148438,23097.91113281,2.419692993164,2.035239219666,-0.4559726715088,0.0,-9.313225746155e-10,-1.862645149231e-09,0.0,-3.0,0.0
